fn_name,parameters,description,return_statement,c_implementation
trie_remove_binary,"Trie *trie, unsigned char *key, int key_length",,0 | 1,"
int trie_remove_binary(Trie *trie, unsigned char *key, int key_length)
{
	TrieNode *node;
	TrieNode *next;
	TrieNode **last_next_ptr;
	int p, c;

	/* Find the end node and remove the value */
	node = trie_find_end_binary(trie, key, key_length);

	if (node != NULL && !trie_value_is_null(&node->data)) {
		node->data = trie_null_value;
	} else {
		return 0;
	}

	/* Now traverse the tree again as before, decrementing the use
	 * count of each node.  Free back nodes as necessary. */
	node = trie->root_node;
	last_next_ptr = &trie->root_node;
	p = 0;

	for (;;) {

		/* Find the next node */
		c = (unsigned char) key[p];
		next = node->next[c];

		/* Free this node if necessary */
		--node->use_count;

		if (node->use_count <= 0) {
			free(node);

			/* Set the ""next"" pointer on the previous node to NULL,
			 * to unlink the freed node from the tree.  This only
			 * needs to be done once in a remove.  After the first
			 * unlink, all further nodes are also going to be
			 * free'd. */
			if (last_next_ptr != NULL) {
				*last_next_ptr = NULL;
				last_next_ptr = NULL;
			}
		}

		/* Go to the next character or finish */
		if (p == key_length) {
			break;
		} else {
			++p;
		}

		/* If necessary, save the location of the ""next"" pointer
		 * so that it may be set to NULL on the next iteration if
		 * the next node visited is freed. */
		if (last_next_ptr != NULL) {
			last_next_ptr = &node->next[c];
		}

		/* Jump to the next node */
		node = next;
	}

	/* Removed successfully */
	return 1;
}

int trie_remove(Trie *trie, char *key)
{
	TrieNode *node;
	TrieNode *next;
	TrieNode **last_next_ptr;
	char *p;
	int c;

	/* Find the end node and remove the value */
	node = trie_find_end(trie, key);

	if (node != NULL && !trie_value_is_null(&node->data)) {
		node->data = trie_null_value;
	} else {
		return 0;
	}

	/* Now traverse the tree again as before, decrementing the use
	 * count of each node.  Free back nodes as necessary. */
	node = trie->root_node;
	last_next_ptr = &trie->root_node;
	p = key;

	for (;;) {

		/* Find the next node */
		c = (unsigned char) *p;
		next = node->next[c];

		/* Free this node if necessary */
		--node->use_count;

		if (node->use_count <= 0) {
			free(node);

			/* Set the ""next"" pointer on the previous node to NULL,
			 * to unlink the freed node from the tree.  This only
			 * needs to be done once in a remove.  After the first
			 * unlink, all further nodes are also going to be
			 * free'd. */
			if (last_next_ptr != NULL) {
				*last_next_ptr = NULL;
				last_next_ptr = NULL;
			}
		}

		/* Go to the next character or finish */
		if (c == '\0') {
			break;
		} else {
			++p;
		}

		/* If necessary, save the location of the ""next"" pointer
		 * so that it may be set to NULL on the next iteration if
		 * the next node visited is freed. */
		if (last_next_ptr != NULL) {
			last_next_ptr = &node->next[c];
		}

		/* Jump to the next node */
		node = next;
	}

	/* Removed successfully */
	return 1;
}"
trie_remove,"Trie *trie, char *key",Removed successfully,0 | 1 | node->data | trie_null_value | trie->root_node->use_count,"
int trie_remove(Trie *trie, char *key)
{
	TrieNode *node;
	TrieNode *next;
	TrieNode **last_next_ptr;
	char *p;
	int c;

	/* Find the end node and remove the value */
	node = trie_find_end(trie, key);

	if (node != NULL && !trie_value_is_null(&node->data)) {
		node->data = trie_null_value;
	} else {
		return 0;
	}

	/* Now traverse the tree again as before, decrementing the use
	 * count of each node.  Free back nodes as necessary. */
	node = trie->root_node;
	last_next_ptr = &trie->root_node;
	p = key;

	for (;;) {

		/* Find the next node */
		c = (unsigned char) *p;
		next = node->next[c];

		/* Free this node if necessary */
		--node->use_count;

		if (node->use_count <= 0) {
			free(node);

			/* Set the ""next"" pointer on the previous node to NULL,
			 * to unlink the freed node from the tree.  This only
			 * needs to be done once in a remove.  After the first
			 * unlink, all further nodes are also going to be
			 * free'd. */
			if (last_next_ptr != NULL) {
				*last_next_ptr = NULL;
				last_next_ptr = NULL;
			}
		}

		/* Go to the next character or finish */
		if (c == '\0') {
			break;
		} else {
			++p;
		}

		/* If necessary, save the location of the ""next"" pointer
		 * so that it may be set to NULL on the next iteration if
		 * the next node visited is freed. */
		if (last_next_ptr != NULL) {
			last_next_ptr = &node->next[c];
		}

		/* Jump to the next node */
		node = next;
	}

	/* Removed successfully */
	return 1;
}

TrieValue trie_lookup(Trie *trie, char *key)
{
	TrieNode *node;

	node = trie_find_end(trie, key);

	if (node != NULL) {
		return node->data;
	} else {
		return trie_null_value;
	}
}

TrieValue trie_lookup_binary(Trie *trie, unsigned char *key, int key_length)
{
	TrieNode *node;

	node = trie_find_end_binary(trie, key, key_length);

	if (node != NULL) {
		return node->data;
	} else {
		return trie_null_value;
	}
}

unsigned int trie_num_entries(Trie *trie)
{
	/* To find the number of entries, simply look at the use count
	 * of the root node. */
	if (trie->root_node == NULL) {
		return 0;
	} else {
		return trie->root_node->use_count;
	}
}
"
alloc_test_overwrite,"void *ptr, size_t length, unsigned int pattern",,null,"static void alloc_test_overwrite(void *ptr, size_t length, unsigned int pattern)
{
	unsigned char *byte_ptr;
	int pattern_seq;
	unsigned char b;
	size_t i;

	byte_ptr = ptr;

	for (i = 0; i < length; ++i) {
		pattern_seq = (int) (i & 3);
		b = (unsigned char) ((pattern >> (8 * pattern_seq)) & 0xff);
		byte_ptr[i] = b;
	}
}"
alloc_test_malloc,size_t bytes,,"NULL | the block itself */
	return header + 1","void *alloc_test_malloc(size_t bytes)
{
	BlockHeader *header;
	void *ptr;

	/* Check if we have reached the allocation limit. */
	if (allocation_limit == 0) {
		return NULL;
	}

	/* Allocate the requested block with enough room for the block header
	 * as well. */
	header = malloc(sizeof(BlockHeader) + bytes);

	if (header == NULL) {
		return NULL;
	}

	header->magic_number = ALLOC_TEST_MAGIC;
	header->bytes = bytes;

	/* Fill memory with MALLOC_PATTERN, to ensure that code under test
	 * does not rely on memory being initialised to zero. */
	ptr = header + 1;
	alloc_test_overwrite(ptr, bytes, MALLOC_PATTERN);

	/* Update counter */
	allocated_bytes += bytes;

	/* Decrease the allocation limit */
	if (allocation_limit > 0) {
		--allocation_limit;
	}

	/* Skip past the header and return the block itself */
	return header + 1;
}"
alloc_test_free,void *ptr,,null,"void alloc_test_free(void *ptr)
{
	BlockHeader *header;
	size_t block_size;

	/* Must accept NULL as a valid pointer to free. */
	if (ptr == NULL) {
		return;
	}

	/* Get the block header and do a sanity check */
	header = alloc_test_get_header(ptr);
	block_size = header->bytes;
	assert(allocated_bytes >= block_size);

	/* Trash the allocated block to foil any code that relies on memory
	 * that has been freed. */
	alloc_test_overwrite(ptr, header->bytes, FREE_PATTERN);

	/* Trash the magic number in the block header to stop the same block
	 * from being freed again. */
	header->magic_number = 0;

	/* Free the allocated memory. */
	free(header);

	/* Update counter */
	allocated_bytes -= block_size;
}"
alloc_test_realloc,"void *ptr, size_t bytes",Update counter,NULL | new_ptr,"
void *alloc_test_realloc(void *ptr, size_t bytes)
{
	BlockHeader *header;
	void *new_ptr;
	size_t bytes_to_copy;

	/* Allocate the new block */
	new_ptr = alloc_test_malloc(bytes);

	if (new_ptr == NULL) {
		return NULL;
	}

	/* Copy over the old data and free the old block, if there was any. */
	if (ptr != NULL) {
		header = alloc_test_get_header(ptr);

		bytes_to_copy = header->bytes;

		if (bytes_to_copy > bytes) {
			bytes_to_copy = bytes;
		}

		memcpy(new_ptr, ptr, bytes_to_copy);

		alloc_test_free(ptr);
	}

	return new_ptr;
}"
alloc_test_calloc,"size_t nmemb, size_t bytes",,NULL | result,"
void *alloc_test_calloc(size_t nmemb, size_t bytes)
{
	void *result;
	size_t total_bytes = nmemb * bytes;

	/* Allocate the block. */
	result = alloc_test_malloc(total_bytes);

	if (result == NULL) {
		return NULL;
	}

	/* Initialise to zero. */
	memset(result, 0, total_bytes);

	return result;
}"
alloc_test_strdup,const char *string,,NULL | result,"
char *alloc_test_strdup(const char *string)
{
	char *result;

	result = alloc_test_malloc(strlen(string) + 1);

	if (result == NULL) {
		return NULL;
	}

	strcpy(result, string);

	return result;
}"
alloc_test_set_limit,signed int alloc_count,,null,"
void alloc_test_set_limit(signed int alloc_count)
{
	allocation_limit = alloc_count;
}"
alloc_test_get_allocated,,,allocated_bytes,"
size_t alloc_test_get_allocated(void)
{
	return allocated_bytes;
}"
run_test,UnitTestFunction test,,null,"static void run_test(UnitTestFunction test)
{
	/* Turn off any allocation limits that may have been set
	 * by a previous test. */
	alloc_test_set_limit(-1);

	/* Run the test */
	test();

	/* Check that all memory was correctly freed back during
	 * the test. */
	assert(alloc_test_get_allocated() == 0);
}"
run_tests,UnitTestFunction *tests,"Check that all memory was correctly freed back during
the test.",null,"
void run_tests(UnitTestFunction *tests)
{
	int i;

	for (i = 0; tests[i] != NULL; ++i) {
		run_test(tests[i]);
	}
}"
main,"int argc, char *argv[]",,0,"int main(int argc, char *argv[])
{
	run_tests(tests);

	return 0;
}"
main,"int argc, char *argv[]",,0,"int main(int argc, char *argv[])
{
	run_tests(tests);

	return 0;
}"
print_tree,"AVLTreeNode *node, int depth",,null,"static void print_tree(AVLTreeNode *node, int depth)
{
	int *value;
	int i;

	if (node == NULL) {
		return;
	}

	print_tree(avl_tree_node_child(node, AVL_TREE_NODE_LEFT), depth + 1);

	for (i=0; i<depth*6; ++i) {
		printf("" "");
	}

	value = avl_tree_node_key(node);
	printf(""%i\n"", *value);

	print_tree(avl_tree_node_child(node, AVL_TREE_NODE_RIGHT), depth + 1);
}"
find_subtree_height,AVLTreeNode *node,,0 | left_height + 1 | right_height + 1,"
int find_subtree_height(AVLTreeNode *node)
{
	AVLTreeNode *left_subtree;
	AVLTreeNode *right_subtree;
	int left_height, right_height;

	if (node == NULL) {
		return 0;
	}

	left_subtree = avl_tree_node_child(node, AVL_TREE_NODE_LEFT);
	right_subtree = avl_tree_node_child(node, AVL_TREE_NODE_RIGHT);
	left_height = find_subtree_height(left_subtree);
	right_height = find_subtree_height(right_subtree);

	if (left_height > right_height) {
		return left_height + 1;
	} else {
		return right_height + 1;
	}
}"
main,"int argc, char *argv[]",,0,"int main(int argc, char *argv[])
{
	run_tests(tests);
	return 0;
}"
test_out_of_memory,,,null,"void test_out_of_memory(void)
{
	BinaryHeap *heap;
	int *value;
	int values[] = {
	    15, 14, 13, 12, 11, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1, 0,
	};
	int i;

	/* Allocate a heap and fill to the default limit */
	heap = binary_heap_new(BINARY_HEAP_TYPE_MIN, int_compare);

	alloc_test_set_limit(0);

	for (i = 0; i < 16; ++i) {
		assert(binary_heap_insert(heap, &values[i]) != 0);
	}

	assert(binary_heap_num_entries(heap) == 16);

	/* Check that we cannot add new values */
	for (i = 0; i < 16; ++i) {
		assert(binary_heap_insert(heap, &values[i]) == 0);
		assert(binary_heap_num_entries(heap) == 16);
	}

	/* Check that we can read the values back out again and they
	 * are in the right order. */
	for (i = 0; i < 16; ++i) {
		value = binary_heap_pop(heap);
		assert(*value == i);
	}

	assert(binary_heap_num_entries(heap) == 0);

	binary_heap_free(heap);
}"
main,"int argc, char *argv[]",,0,"int main(int argc, char *argv[])
{
	run_tests(tests);

	return 0;
}"
verify_heap,BinomialHeap *heap,,null,"static void verify_heap(BinomialHeap *heap)
{
	unsigned int num_vals;
	int *val;
	int i;

	num_vals = binomial_heap_num_entries(heap);
	assert(num_vals == NUM_TEST_VALUES - 1);

	for (i = 0; i < NUM_TEST_VALUES; ++i) {
		if (i == TEST_VALUE) {
			continue;
		}

		/* Pop off the next value and check it */
		val = binomial_heap_pop(heap);
		assert(*val == i);

		/* Decrement num values counter */
		--num_vals;
		assert(binomial_heap_num_entries(heap) == num_vals);
	}
}"
test_insert_out_of_memory,,,null,"static void test_insert_out_of_memory(void)
{
	BinomialHeap *heap;
	int i;

	/* There are various memory allocations performed during the insert;
	 * probe at different limit levels to catch them all. */
	for (i = 0; i < 6; ++i) {
		heap = generate_heap();

		/* Insert should fail */
		alloc_test_set_limit(i);
		test_array[TEST_VALUE] = TEST_VALUE;
		assert(binomial_heap_insert(heap, &test_array[TEST_VALUE]) ==
		       0);
		alloc_test_set_limit(-1);

		/* Check that the heap is unharmed */
		verify_heap(heap);

		binomial_heap_free(heap);
	}
}"
test_pop_out_of_memory,,,null,"void test_pop_out_of_memory(void)
{
	BinomialHeap *heap;
	int i;

	/* There are various memory allocations performed as part of the merge
	 * done during the pop.  Probe at different limit levels to catch them
	 * all. */
	for (i = 0; i < 6; ++i) {
		heap = generate_heap();

		/* Pop should fail */
		alloc_test_set_limit(i);
		assert(binomial_heap_pop(heap) == NULL);
		alloc_test_set_limit(-1);

		/* Check the heap is unharmed */
		binomial_heap_free(heap);
	}
}"
main,"int argc, char *argv[]",,0,"int main(int argc, char *argv[])
{
	run_tests(tests);

	return 0;
}"
test_bloom_filter_mismatch,,,null,"void test_bloom_filter_mismatch(void)
{
	BloomFilter *filter1;
	BloomFilter *filter2;

	/* Create one filter with both values set */
	filter1 = bloom_filter_new(128, string_hash, 4);

	/* Different buffer size. */
	filter2 = bloom_filter_new(64, string_hash, 4);
	assert(bloom_filter_intersection(filter1, filter2) == NULL);
	assert(bloom_filter_union(filter1, filter2) == NULL);
	bloom_filter_free(filter2);

	/* Different hash function */
	filter2 = bloom_filter_new(128, string_nocase_hash, 4);
	assert(bloom_filter_intersection(filter1, filter2) == NULL);
	assert(bloom_filter_union(filter1, filter2) == NULL);
	bloom_filter_free(filter2);

	/* Different number of salts */
	filter2 = bloom_filter_new(128, string_hash, 32);
	assert(bloom_filter_intersection(filter1, filter2) == NULL);
	assert(bloom_filter_union(filter1, filter2) == NULL);
	bloom_filter_free(filter2);

	bloom_filter_free(filter1);
}"
main,"int argc, char *argv[]",,0,"int main(int argc, char *argv[])
{
	run_tests(tests);

	return 0;
}"
main,"int argc, char *argv[]",,0,"int main(int argc, char *argv[])
{
	run_tests(tests);

	return 0;
}"
main,"int argc, char *argv[]",,0,"int main(int argc, char *argv[])
{
	run_tests(tests);

	return 0;
}"
test_hash_table_new_free,,,null,"void test_hash_table_new_free(void)
{
	HashTable *hash_table;

	hash_table = hash_table_new(int_hash, int_equal);

	assert(hash_table != NULL);

	/* Add some values */
	hash_table_insert(hash_table, &value1, &value1);
	hash_table_insert(hash_table, &value2, &value2);
	hash_table_insert(hash_table, &value3, &value3);
	hash_table_insert(hash_table, &value4, &value4);

	/* Free the hash table */
	hash_table_free(hash_table);

	/* Test out of memory scenario */
	alloc_test_set_limit(0);
	hash_table = hash_table_new(int_hash, int_equal);
	assert(hash_table == NULL);
	assert(alloc_test_get_allocated() == 0);

	alloc_test_set_limit(1);
	hash_table = hash_table_new(int_hash, int_equal);
	assert(hash_table == NULL);
	assert(alloc_test_get_allocated() == 0);
}"
test_hash_table_insert_lookup,,,null,"void test_hash_table_insert_lookup(void)
{
	HashTable *hash_table;
	char buf[10];
	char *value;
	int i;

	/* Generate a hash table */
	hash_table = generate_hash_table();

	assert(hash_table_num_entries(hash_table) == NUM_TEST_VALUES);

	/* Check all values */
	for (i = 0; i < NUM_TEST_VALUES; ++i) {
		sprintf(buf, ""%i"", i);
		value = hash_table_lookup(hash_table, buf);

		assert(strcmp(value, buf) == 0);
	}

	/* Lookup on invalid values returns NULL */
	sprintf(buf, ""%i"", -1);
	assert(hash_table_lookup(hash_table, buf) == NULL);
	sprintf(buf, ""%i"", NUM_TEST_VALUES);
	assert(hash_table_lookup(hash_table, buf) == NULL);

	/* Insert overwrites existing entries with the same key */
	sprintf(buf, ""%i"", 12345);
	hash_table_insert(hash_table, buf, strdup(""hello world""));
	value = hash_table_lookup(hash_table, buf);
	assert(strcmp(value, ""hello world"") == 0);

	hash_table_free(hash_table);
}"
test_hash_table_iterating_remove,,,null,"void test_hash_table_iterating_remove(void)
{
	HashTable *hash_table;
	HashTableIterator iterator;
	char buf[10];
	char *val;
	HashTablePair pair;
	int count;
	unsigned int removed;
	int i;

	hash_table = generate_hash_table();

	/* Iterate over all values in the table */
	count = 0;
	removed = 0;

	hash_table_iterate(hash_table, &iterator);

	while (hash_table_iter_has_more(&iterator)) {

		/* Read the next value */
		pair = hash_table_iter_next(&iterator);
		val = pair.value;

		/* Remove every hundredth entry */
		if ((atoi(val) % 100) == 0) {
			hash_table_remove(hash_table, val);
			++removed;
		}

		++count;
	}

	/* Check counts */
	assert(removed == 100);
	assert(count == NUM_TEST_VALUES);

	assert(hash_table_num_entries(hash_table) == NUM_TEST_VALUES - removed);

	/* Check all entries divisible by 100 were really removed */
	for (i = 0; i < NUM_TEST_VALUES; ++i) {
		sprintf(buf, ""%i"", i);

		if (i % 100 == 0) {
			assert(hash_table_lookup(hash_table, buf) == NULL);
		} else {
			assert(hash_table_lookup(hash_table, buf) != NULL);
		}
	}

	hash_table_free(hash_table);
}"
new_key,int value,,result,"int *new_key(int value)
{
	int *result;

	result = malloc(sizeof(int));
	*result = value;

	++allocated_keys;

	return result;
}"
free_key,void *key,,null,"void free_key(void *key)
{
	free(key);

	--allocated_keys;
}"
new_value,int value,,result,"int *new_value(int value)
{
	int *result;

	result = malloc(sizeof(int));
	*result = value;

	++allocated_values;

	return result;
}"
free_value,void *value,,null,"void free_value(void *value)
{
	free(value);

	--allocated_values;
}"
test_hash_table_free_functions,,,null,"void test_hash_table_free_functions(void)
{
	HashTable *hash_table;
	int *key;
	int *value;
	int i;

	/* Create a hash table, fill it with values */
	hash_table = hash_table_new(int_hash, int_equal);

	hash_table_register_free_functions(hash_table, free_key, free_value);

	allocated_values = 0;

	for (i = 0; i < NUM_TEST_VALUES; ++i) {
		key = new_key(i);
		value = new_value(99);

		hash_table_insert(hash_table, key, value);
	}

	assert(allocated_keys == NUM_TEST_VALUES);
	assert(allocated_values == NUM_TEST_VALUES);

	/* Check that removing a key works */
	i = NUM_TEST_VALUES / 2;
	hash_table_remove(hash_table, &i);

	assert(allocated_keys == NUM_TEST_VALUES - 1);
	assert(allocated_values == NUM_TEST_VALUES - 1);

	/* Check that replacing an existing key works */
	key = new_key(NUM_TEST_VALUES / 3);
	value = new_value(999);

	assert(allocated_keys == NUM_TEST_VALUES);
	assert(allocated_values == NUM_TEST_VALUES);

	hash_table_insert(hash_table, key, value);

	assert(allocated_keys == NUM_TEST_VALUES - 1);
	assert(allocated_values == NUM_TEST_VALUES - 1);

	/* A free of the hash table should free all of the keys and values */
	hash_table_free(hash_table);

	assert(allocated_keys == 0);
	assert(allocated_values == 0);
}"
test_hash_table_out_of_memory,,,null,"void test_hash_table_out_of_memory(void)
{
	HashTable *hash_table;
	int values[66];
	unsigned int i;

	hash_table = hash_table_new(int_hash, int_equal);

	/* Test normal failure */
	alloc_test_set_limit(0);
	values[0] = 0;
	assert(hash_table_insert(hash_table, &values[0], &values[0]) == 0);
	assert(hash_table_num_entries(hash_table) == 0);

	alloc_test_set_limit(-1);

	/* Test failure when increasing table size.
	 * The initial table size is 193 entries.  The table increases in
	 * size when 1/3 full, so the 66th entry should cause the insert
	 * to fail.
	 */
	for (i = 0; i < 65; ++i) {
		values[i] = (int) i;

		assert(hash_table_insert(hash_table, &values[i], &values[i]) !=
		       0);
		assert(hash_table_num_entries(hash_table) == i + 1);
	}

	assert(hash_table_num_entries(hash_table) == 65);

	/* Test the 66th insert */
	alloc_test_set_limit(0);

	values[65] = 65;

	assert(hash_table_insert(hash_table, &values[65], &values[65]) == 0);
	assert(hash_table_num_entries(hash_table) == 65);

	hash_table_free(hash_table);
}"
main,"int argc, char *argv[]",,0,"int main(int argc, char *argv[])
{
	run_tests(tests);

	return 0;
}"
test_list_iterate_bad_remove,,,null,"void test_list_iterate_bad_remove(void)
{
	ListEntry *list;
	ListIterator iter;
	int values[49];
	int i;
	int *val;

	/* Create a list with 49 entries */
	list = NULL;

	for (i = 0; i < 49; ++i) {
		values[i] = i;
		assert(list_prepend(&list, &values[i]) != NULL);
	}

	/* Iterate over the list, removing each element in turn.  We
	 * use an odd number of list elements so that the first and
	 * last entries are removed. */
	list_iterate(&list, &iter);

	while (list_iter_has_more(&iter)) {
		val = list_iter_next(&iter);

		/* Remove all the even numbers. Check that list_iter_remove
		 * can cope with the fact that the current element has
		 * already been removed. */
		if ((*val % 2) == 0) {
			assert(list_remove_data(&list, int_equal, val) != 0);
			list_iter_remove(&iter);
		}
	}

	list_free(list);
}"
main,"int argc, char *argv[]",,0,"int main(int argc, char *argv[])
{
	run_tests(tests);

	return 0;
}"
test_queue_new_free,,,null,"void test_queue_new_free(void)
{
	int i;
	Queue *queue;

	/* Create and destroy a queue */
	queue = queue_new();

	queue_free(queue);

	/* Add lots of values and then destroy */
	queue = queue_new();

	for (i = 0; i < 1000; ++i) {
		queue_push_head(queue, &variable1);
	}

	queue_free(queue);

	/* Test allocation when there is no free memory */
	alloc_test_set_limit(0);
	queue = queue_new();
	assert(queue == NULL);
}"
main,"int argc, char *argv[]",,0,"int main(int argc, char *argv[])
{
	run_tests(tests);

	return 0;
}"
print_tree,"RBTreeNode *node, int depth",,null,"static void print_tree(RBTreeNode *node, int depth)
{
	int *value;
	int i;

	if (node == NULL) {
		return;
	}

	print_tree(rb_tree_node_child(node, RB_TREE_NODE_LEFT), depth + 1);

	for (i=0; i<depth*6; ++i) {
		printf("" "");
	}

	value = rb_tree_node_key(node);
	printf(""%i\n"", *value);

	print_tree(rb_tree_node_child(node, RB_TREE_NODE_RIGHT), depth + 1);
}"
find_subtree_height,RBTreeNode *node,,0 | left_height + 1 | right_height + 1,"
int find_subtree_height(RBTreeNode *node)
{
	RBTreeNode *left_subtree;
	RBTreeNode *right_subtree;
	int left_height, right_height;

	if (node == NULL) {
		return 0;
	}

	left_subtree = rb_tree_node_child(node, RB_TREE_NODE_LEFT);
	right_subtree = rb_tree_node_child(node, RB_TREE_NODE_RIGHT);
	left_height = find_subtree_height(left_subtree);
	right_height = find_subtree_height(right_subtree);

	if (left_height > right_height) {
		return left_height + 1;
	} else {
		return right_height + 1;
	}
}"
validate_tree,RBTree *tree,,null,"
void validate_tree(RBTree *tree)
{
}"
main,"int argc, char *argv[]",,0,"int main(int argc, char *argv[])
{
	run_tests(tests);
	return 0;
}"
test_set_iterating_remove,,,null,"void test_set_iterating_remove(void)
{
	Set *set;
	SetIterator iterator;
	int count;
	unsigned int removed;
	char *value;

	set = generate_set();

	count = 0;
	removed = 0;

	/* Iterate over all values in the set */
	set_iterate(set, &iterator);

	while (set_iter_has_more(&iterator)) {

		value = set_iter_next(&iterator);

		if ((atoi(value) % 100) == 0) {

			/* Remove this value */
			set_remove(set, value);

			++removed;
		}

		++count;
	}

	/* Check final counts */
	assert(count == 10000);
	assert(removed == 100);
	assert(set_num_entries(set) == 10000 - removed);

	set_free(set);
}"
test_set_out_of_memory,,,null,"void test_set_out_of_memory(void)
{
	Set *set;
	int values[66];
	unsigned int i;

	set = set_new(int_hash, int_equal);

	/* Test normal failure */
	alloc_test_set_limit(0);
	values[0] = 0;
	assert(set_insert(set, &values[0]) == 0);
	assert(set_num_entries(set) == 0);

	alloc_test_set_limit(-1);

	/* Test failure when increasing table size.
	 * The initial table size is 193 entries.  The table increases in
	 * size when 1/3 full, so the 66th entry should cause the insert
	 * to fail. */
	for (i = 0; i < 65; ++i) {
		values[i] = (int) i;

		assert(set_insert(set, &values[i]) != 0);
		assert(set_num_entries(set) == i + 1);
	}

	assert(set_num_entries(set) == 65);

	/* Test the 66th insert */
	alloc_test_set_limit(0);

	values[65] = 65;

	assert(set_insert(set, &values[65]) == 0);
	assert(set_num_entries(set) == 65);

	set_free(set);
}"
main,"int argc, char *argv[]",,0,"int main(int argc, char *argv[])
{
	run_tests(tests);

	return 0;
}"
test_slist_iterate_bad_remove,,,null,"void test_slist_iterate_bad_remove(void)
{
	SListEntry *list;
	SListIterator iter;
	int values[49];
	int i;
	int *val;

	/* Create a list with 49 entries */
	list = NULL;

	for (i = 0; i < 49; ++i) {
		values[i] = i;
		slist_prepend(&list, &values[i]);
	}

	/* Iterate over the list, removing each element in turn.  We
	 * use an odd number of list elements so that the first and
	 * last entries are removed. */
	slist_iterate(&list, &iter);

	while (slist_iter_has_more(&iter)) {
		val = slist_iter_next(&iter);

		/* Remove all the even numbers. Check that slist_iter_remove
		 * can cope with the fact that the current element has
		 * already been removed. */
		if ((*val % 2) == 0) {
			assert(slist_remove_data(&list, int_equal, val) != 0);
			slist_iter_remove(&iter);
		}
	}

	slist_free(list);
}"
main,"int argc, char *argv[]",,0,"int main(int argc, char *argv[])
{
	run_tests(tests);

	return 0;
}"
main,"int argc, char *argv[]",,0,"int main(int argc, char *argv[])
{
	run_tests(tests);

	return 0;
}"
test_trie_negative_keys,,,null,"static void test_trie_negative_keys(void)
{
	char my_key[] = {'a', 'b', 'c', -50, -20, '\0'};
	Trie *trie;
	void *value;

	trie = trie_new();

	assert(trie_insert(trie, my_key, ""hello world"") != 0);

	value = trie_lookup(trie, my_key);

	assert(!strcmp(value, ""hello world""));

	assert(trie_remove(trie, my_key) != 0);
	assert(trie_remove(trie, my_key) == 0);
	assert(trie_lookup(trie, my_key) == NULL);

	trie_free(trie);
}"
main,"int argc, char *argv[]",,0,"int main(int argc, char *argv[])
{
	run_tests(tests);

	return 0;
}"
